stick, stuck, stuck|придерживаться|[stɪk] [stʌk] [stʌk]
sting, stung, stung|жалить|[stɪŋ] [stʌŋ] [stʌŋ]
stink, stank , stunk|вонять|[stɪŋk] [stæŋk] [stʌŋk]
strew, strewed, strewed|усыпать|[struː] [struːd] [struːd]
stride, strode, stridden|шагать|[straɪd] [strəʊd] [ˈstrɪdən]
strike, struck, struck|бастовать|[straɪk] [strʌk] [strʌk]
string, strung, strung|нанизывать|[strɪŋ] [strʌŋ] [strʌŋ]
strive, strove, striven|стараться|[straɪv] [strəʊv] [ˈstrɪv(ə)n]
swear, swore, sworn|клясться|[sweə(r)] [swɔːr] [swɔːn]
sweep, swept, swept|подметать|[swiːp] [swept] [swept]
swell, swelled, swollen|набухать|[swel] [sweld] [ˈswəʊlən]
swim, swam, swum|плавать|[swɪm] [swæm] [swʌm]
swing, swung, swung|качать|[swɪŋ] [swʌŋ] [swʌŋ]
take, took, taken|брать|[teɪk] [tʊk] [ˈteɪ.kən]
teach, taught, taught|обучать|[tiːtʃ] [tɔːt] [tɔːt]
tear, tore, torn|рвать|[teə(r)] [tɔːr] [tɔːn]
tell, told, told|рассказывать|[tel] [təʊld] [təʊld]
think, thought, thought|думать|[θɪŋk] [θɔːt] [θɔːt]
throw, threw, thrown|кидать|[θrəʊ] [θruː] [θrəʊn]
thrust, thrust, thrust|толкать|[θrʌst] [θrʌst] [θrʌst]
tread, trod, trod|ступать|[tred] [trɒd] [trɒd]
unbend, unbent, unbent|разгибать|[ʌnˈbend] [ʌnˈbent] [ʌnˈbent]
write, wrote, written|писать|[raɪt] [rəʊt] [ˈrɪtn]
wring, wrung, wrung|выкручивать|[rɪŋ] [rʌŋ] [rʌŋ]
win, won, won|выигрывать|[wɪn] [wʌn] [wʌn]
wind, wound, wound|наматывать|[wɪnd] [wuːnd] [wuːnd]
wear, wore, worn|носить одежду|[weə(r)] [wɔːr] [wɔːn]
